기준일,기준일_시트명,학원순서,학원명,올해_재학생,올해_N수,올해_총인원,올해_총인원_원본열,원본총원_차이,전년_재학생,전년_N수,전년_총인원,목표_재학생,목표_N수,목표_총인원,전년대비_재학생_증감,전년대비_N수_증감,전년대비_총원_증감,전년대비_총원_증감률,목표대비_재학생_차이,목표대비_N수_차이,목표대비_총원_차이,목표달성률_총원,원본파일,원본시트,원본행,추출_올해총원열,추출_목표열,추출_전년열
2026-04-12,4.12(일),8,분당,161,356,517,517,0,208,368,576,215,370,585,-47,-12,-59,-0.10243055555555555,-54,-14,-68,0.8837606837606837,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.12(일),20,L,Y/Z,AB/AC
2026-04-12,4.12(일),9,대구,165,451,616,616,0,174,448,622,213,425,638,-9,3,-6,-0.00964630225080386,-48,26,-22,0.9655172413793104,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.12(일),21,L,Y/Z,AB/AC
2026-04-12,4.12(일),10,대전,109,192,301,301,0,111,203,314,115,195,310,-2,-11,-13,-0.041401273885350316,-6,-3,-9,0.9709677419354839,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.12(일),22,L,Y/Z,AB/AC
2026-04-15,4.15(수),1,최상위권 전문관,0,747,747,747,0,0,548,548,0,610,610,0,199,199,0.36313868613138683,0,137,137,1.2245901639344263,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.15(수),12,L,Y/Z,AB/AC
2026-04-15,4.15(수),2,기숙 종합관,0,410,410,410,0,0,259,259,0,390,390,0,151,151,0.583011583011583,0,20,20,1.0512820512820513,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.15(수),13,L,Y/Z,AB/AC
2026-04-15,4.15(수),3,여학생 전문관,0,324,324,423,-99,0,399,399,0,400,400,0,-75,-75,-0.18796992481203006,0,-76,-76,0.81,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.15(수),14,L,Y/Z,AB/AC
2026-04-15,4.15(수),4,여학생 수학전문관,0,99,99,,,0,0,0,0,0,0,0,99,99,,0,99,99,,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.15(수),15,L,Y/Z,AB/AC
2026-04-15,4.15(수),5,남학생 전문관,0,457,457,457,0,0,428,428,0,450,450,0,29,29,0.06775700934579439,0,7,7,1.0155555555555555,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.15(수),16,L,Y/Z,AB/AC
2026-04-15,4.15(수),6,강남,102,186,288,288,0,97,158,255,99,320,419,5,28,33,0.12941176470588237,3,-134,-131,0.6873508353221957,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.15(수),18,L,Y/Z,AB/AC
2026-04-15,4.15(수),7,목동,83,281,364,364,0,86,324,410,87,333,420,-3,-43,-46,-0.11219512195121951,-4,-52,-56,0.8666666666666667,"★대치,중점,거점학원사업본부_재학+N수_인원현황 및 단과장수_260429(보고용).xlsx",4.15(수),19,L,Y/Z,AB/AC
